company_name,experience,jdescp,job_description_link,job_title,keyskills,location,salary
,,N/A,,,,,
PPN Solutions Pvt Ltd,4-9 yrs,Looking for 3+ yrs of SD Consultant with S4 HANA Experience for Noida location. ;Candidate must have ...,https://www.naukri.com/job-listings-SAP-SD-Consultant-PPN-Solutions-Pvt-Ltd-Delhi-NCR-Noida-4-to-9-years-011018007324?src=jobsearchDesk&sid=15409049444103&xp=1&px=1,SAP SD Consultant,"SAP SD, S4 HANA","Delhi NCR, Noida",  Not disclosed 
Rapturous Consultants LLP,4-9 yrs,N/A,https://www.naukri.com/job-listings-Sales-Manager-Rapturous-Consultants-LLP-Delhi-NCR-4-to-9-years-301018006080?src=jobsearchDesk&sid=15409049444103&xp=2&px=1,Sales Manager,"business development, corporate tie - ups, institutional tie - ups...",Delhi NCR,"    3,00,000 - 8,00,000 P.A. intervew board will decide  "
PPN solutions pvt ltd,2-7 yrs,Looking for SAP Basis Consultant with 3+ yrs of experience;Domestic experience is must;S4 Hana ...,https://www.naukri.com/job-listings-SAP-Basis-Consultant-PPN-solutions-pvt-ltd-Delhi-NCR-Noida-2-to-7-years-250918005687?src=jobsearchDesk&sid=15409049444103&xp=3&px=1,SAP Basis Consultant,"SAP Basis, S4 Hana","Delhi NCR, Noida",  Not disclosed 
PMV Maltings Private Ltd,15-20 yrs,Should handle entire compliance/plant operations .Strong in;Should have experience in handling Labour/int ...,https://www.naukri.com/job-listings-Head-HR-PMV-Maltings-Private-Ltd-Gurgaon-Sohna-Road-15-to-20-years-110918003499?src=jobsearchDesk&sid=15409049444103&xp=4&px=1,"Head HR,","HR Generalist Activities, Recruitment, Employee Engagement...",Gurgaon(Sohna Road),  Not disclosed 
PMV Maltings Private Ltd,3-8 yrs,"Microsoft Dynamics NAVISION development & SQL Server environment.Undertake the design, coding, ...",https://www.naukri.com/job-listings-ERP-Technical-Consultant-PMV-Maltings-Private-Ltd-Gurgaon-South-City-2-1-3-to-8-years-101018004880?src=jobsearchDesk&sid=15409049444103&xp=5&px=1,ERP Technical Consultant,"Microsoft Dynamics Navision, SQL Server, NAV, Navision",Gurgaon(South City 2+1),"    3,25,000 - 5,00,000 P.A.  "
E. S. JOBS.,10-15 yrs,N/A,https://www.naukri.com/job-listings-General-Manager-Deputy-Manager-E-S-JOBS-Noida-10-to-15-years-301018006054?src=jobsearchDesk&sid=15409049444103&xp=6&px=1,General Manager & Deputy Manager,"event management, events, promotions",Noida,"    15,00,000 - 20,00,000 P.A.  "
Flexy Managers,3-6 yrs,Identify and develop new sales / reach out channels to get maximum traction amongst the student base and ...,https://www.naukri.com/job-listings-Business-Development-role-risk-Advisory-exp-Required-in-Gurgaon-Flexy-Managers-Gurgaon-3-to-6-years-301018006062?src=jobsearchDesk&sid=15409049444103&xp=7&px=1,Business Development role (risk Advisory exp. Required in Gurgaon),"business development management, sales, marketing collaterals...",Gurgaon,"    6,00,000 - 12,00,000 P.A.  "
Amazon Development Centre (India) Pvt. Ltd.,8-13 yrs,"Looking for strong technical and analytical candidates possessing 8+ years of Devops, implementation, ...",https://www.naukri.com/job-listings-Cloud-Architect-Amazon-Development-Centre-India-Pvt-Ltd-Delhi-NCR-Mumbai-Bengaluru-8-to-13-years-151018004730?src=jobsearchDesk&sid=15409049444103&xp=8&px=1,Cloud Architect,"Cloud Architect, AWS, cloud technical architect, cloud solution architect...","Delhi NCR, Mumbai, Bengaluru",  Not disclosed 
PMV Nutrient Products Pvt. Ltd.,2-7 yrs,Responsible for conducting microbiological tests for raw material and finished product as per test ...,https://www.naukri.com/job-listings-QA-Executive-microbiologist-PMV-Nutrient-Products-Pvt-Ltd-Gurgaon-Pace-city-I-2-2-to-7-years-221018006188?src=jobsearchDesk&sid=15409049444103&xp=9&px=1,QA Executive /microbiologist,"QA QC Executive, Microbiologist",Gurgaon(Pace city I+2),  Not disclosed 
PMV Maltings Private Ltd,2-5 yrs,Transferring all incoming and outgoing calls to the respective   departments or numbers. ...,https://www.naukri.com/job-listings-Front-Office-Exe-Receptionist-PMV-Maltings-Private-Ltd-Gurgaon-Sohna-Road-2-to-5-years-300818000548?src=jobsearchDesk&sid=15409049444103&xp=10&px=1,Front Office  Exe / Receptionist,"receptionist, front desk executive",Gurgaon(Sohna Road),  Not disclosed 
Hitachi Payment Services,0-1 yrs,Good communication and interpersonal skills;Good team player;Good in MS Office;Good in Hindi  &amp ...,https://www.naukri.com/job-listings-Urgent-Opening-for-Helpdesk-Executive-Gurgaon-Hitachi-Services-Gurgaon-0-to-1-years-290318003271?src=jobsearchDesk&sid=15409049444103&xp=11&px=1,Urgent Opening for Helpdesk Executive - @ Gurgaon,"Bpo, Voice, Semi voice, semi outbound, Tele Caller...",Gurgaon,"    1,25,000 - 1,50,000 P.A. Take Home 9.5 k+ incentives  "
One March India,4-9 yrs,N/A,https://www.naukri.com/job-listings-Senior-Profiles-in-Internal-Audit-dept-of-a-Bank-in-Delhi-gurgaon-One-March-India-Delhi-NCR-Gurgaon-Delhi-4-to-9-years-301018006042?src=jobsearchDesk&sid=15409049444103&xp=12&px=1,Senior Profiles in Internal Audit dept of a Bank in Delhi-gurgaon,"Internal Audit, audit manager, audit senior manager, Internal Auditor...","Delhi NCR, Gurgaon, Delhi","    7,00,000 - 17,00,000 P.A. Deputy Manager/manager/chief ...  "
